plot;species;dbh
25;Blepharocalyx salicifolius;60,9563432
25;Allophylus edulis;9,199155711
25;Eugenia uniflora;19,36203449
25;Sebastiania commersoniana;20,05352283
25;Sebastiania commersoniana;6,525352667
25;Sebastiania commersoniana;10,0585924
25;Blepharocalyx salicifolius;59,52394872
25;Allophylus edulis;7,480282325
25;Eugenia uniflora;11,49098689
25;Annona rugulosa;5,570423008
25;Allophylus edulis;12,60507149
25;Eugenia uniflora;20,6901426
25;Nectandra megapotamica;24,95549508
25;Blepharocalyx salicifolius;6,68450761
25;Casearia decandra;5,570423008
25;Nectandra megapotamica;8,435211984
25;Campomanesia xanthocarpa;5,952394872
25;Campomanesia xanthocarpa;8,785352859
25;Nectandra megapotamica;33,74084794
25;Nectandra megapotamica;10,88619811
25;Nectandra megapotamica;5,856901906
25;Casearia decandra;6,843662553
25;Casearia decandra;5,379437077
25;Sebastiania commersoniana;13,94197301
25;Casearia decandra;5,092958179
25;Casearia decandra;8,339719018
26;Allophylus edulis;11,23633898
26;Campomanesia xanthocarpa;12,60507149
26;Campomanesia xanthocarpa;10,24957834
26;Blepharocalyx salicifolius;44,88169395
26;Campomanesia xanthocarpa;7,639437268
26;Campomanesia xanthocarpa;15,72450838
26;Eugenia uniflora;27,05634033
26;Eugenia uniflora;8,021409132
26;Annona rugulosa;9,708451529
26;Eugenia uniflora;29,34817151
26;Blepharocalyx salicifolius;16,87042397
26;Sebastiania commersoniana;5,697746963
26;Casearia decandra;22,20051155
26;Eugenia uniflora;17,74342793
26;Nectandra megapotamica;6,207042781
26;Myrcia selloi;14,45126883
26;Allophylus edulis;9,199155711
26;Annona rugulosa;11,93662073
26;Eugenia uniflora;21,13577644
26;Campomanesia xanthocarpa;15,19472171
26;Nectandra megapotamica;26,64253747
26;Eugenia uniflora;7,512113314
26;Myrcianthes gigantea;23,96873443
26;Sebastiania commersoniana;5,092958179
27;Campomanesia xanthocarpa;17,08230104
27;Annona rugulosa;8,97633879
27;Allophylus edulis;8,75352187
27;Nectandra megapotamica;14,2602829
27;Nectandra megapotamica;11,30000096
27;Nectandra megapotamica;15,11971959
27;Allophylus edulis;5,570423008
27;Campomanesia xanthocarpa;7,480282325
27;Campomanesia xanthocarpa;16,99774792
27;Nectandra megapotamica;17,56816828
27;Nectandra megapotamica;15,27887454
27;Nectandra megapotamica;31,38535478
27;Annona rugulosa;6,68450761
27;Annona rugulosa;14,76957872
27;Myrcia glomerata;14,29211389
27;Nectandra megapotamica;13,17802929
27;Nectandra megapotamica;9,167324722
27;Campomanesia xanthocarpa;7,066479473
27;Nectandra megapotamica;16,87042397
27;Sebastiania commersoniana;24,35070629
27;Campomanesia xanthocarpa;11,33183195
27;Campomanesia xanthocarpa;13,68732511
27;Sebastiania commersoniana;16,39295914
27;Sebastiania commersoniana;15,46986047
27;Nectandra megapotamica;16,2338042
27;Sebastiania commersoniana;24,50986124
27;Annona rugulosa;12,12760666
27;Campomanesia xanthocarpa;8,01616541
27;Nectandra megapotamica;12,19126864
27;Allophylus edulis;10,03968758
27;Nectandra megapotamica;8,276057041
27;Campomanesia xanthocarpa;13,36901522
27;Campomanesia xanthocarpa;9,549296586
27;Campomanesia xanthocarpa;13,59183214
27;Blepharocalyx salicifolius;23,87324146
27;Nectandra megapotamica;12,5732405
27;Sebastiania commersoniana;33,0087352
27;Strychnos brasiliensis;8,116902098
27;Sebastiania commersoniana;6,016056849
27;Strychnos brasiliensis;8,658028904
27;Nectandra megapotamica;7,480282325
27;Nectandra megapotamica;11,4591559
27;Blepharocalyx salicifolius;14,00563499
27;Sebastiania commersoniana;10,56788822
28;Campomanesia xanthocarpa;9,803944494
28;Sebastiania brasiliensis;5,092958179
28;Blepharocalyx salicifolius;22,28169203
28;Sebastiania brasiliensis;26,12856933
28;Eugenia uniflora;22,6267958
28;Eugenia uniflora;6,525352667
28;Sebastiania brasiliensis;10,15408537
28;Myrcia glomerata;5,474930042
28;Sebastiania brasiliensis;25,18072637
28;Casearia decandra;5,888732894
28;Sebastiania commersoniana;5,156620156
28;Sebastiania commersoniana;8,148733086
28;Sebastiania commersoniana;10,44056427
28;Blepharocalyx salicifolius;28,45690382
28;Casearia decandra;5,252113122
28;Casearia decandra;5,029296202
28;Sebastiania commersoniana;5,188451145
28;Sebastiania brasiliensis;7,002817496
28;Eugenia uniflora;27,7993165
28;Blepharocalyx salicifolius;27,6929601
28;Eugenia uniflora;8,371550007
28;Sapium glandulosum;34,91859451
18;Lithrea brasiliensis;12,73239545
29;Mimosa scabrella;18,20732549
29;Sebastiania brasiliensis;7,862254189
29;Nectandra megapotamica;8,116902098
29;Matayba elaeagnoides;6,207042781
29;Nectandra megapotamica;5,888732894
29;Matayba elaeagnoides;15,11971959
29;Schinus terebinthifolius;8,912676813
29;Blepharocalyx salicifolius;6,620845633
29;Sebastiania commersoniana;11,93662073
29;Sebastiania commersoniana;9,89943746
29;Sebastiania commersoniana;9,867606472
29;Sebastiania commersoniana;9,867606472
29;Allophylus edulis;5,952394872
29;Allophylus edulis;6,875493542
29;Annona rugulosa;7,734930234
29;Symplocos uniflora;6,525352667
29;Zanthoxylum rhoifolium;5,443099054
29;Escallonia bifida;9,740282517
29;Escallonia bifida;16,71126902
29;Symplocos uniflora;7,639437268
29;Dicksonia sellowiana;18,58929735
29;Myrsine coriacea;5,411268065
29;Myrsine coriacea;8,276057041
30;Sebastiania commersoniana;44,08591924
30;Sebastiania commersoniana;39,21577798
30;Eugenia uniflora;9,89943746
30;Sebastiania commersoniana;35,49155231
30;Sebastiania commersoniana;19,41690306
30;Eugenia uniflora;19,57282288
30;Sebastiania commersoniana;32,84958025
30;Sebastiania commersoniana;25,52845287
30;Myrcia glomerata;8,403622136
31;Nectandra megapotamica;29,79380535
31;Nectandra megapotamica;8,276057041
31;Sebastiania commersoniana;5,411268065
31;Sebastiania commersoniana;8,594366927
31;Sebastiania commersoniana;7,957747155
31;Eugenia uniflora;12,09577567
31;Allophylus edulis;12,38225457
31;Nectandra megapotamica;21,00845249
31;Nectandra megapotamica;14,86507168
31;Nectandra megapotamica;7,161972439
31;Casearia decandra;10,70013727
31;Blepharocalyx salicifolius;8,339719018
31;Blepharocalyx salicifolius;8,97633879
31;Myrrhinium atropurpureum;21,44048064
31;Nectandra megapotamica;11,84112777
31;Nectandra megapotamica;13,68732511
31;Nectandra megapotamica;10,44056427
31;Allophylus edulis;16,58394507
31;Myrrhinium atropurpureum;5,570423008
31;Myrcia glomerata;5,06112719
32;Sebastiania commersoniana;64,29859701
32;Nectandra megapotamica;21,19943842
32;Blepharocalyx salicifolius;35,01408748
32;Blepharocalyx salicifolius;6,207042781
32;Blepharocalyx salicifolius;24,35070629
32;Eugenia uniflora;31,04727469
32;Sebastiania commersoniana;28,01126998
32;Sebastiania commersoniana;22,85464983
32;Allophylus edulis;21,67690325
32;Campomanesia xanthocarpa;23,30028367
32;Nectandra megapotamica;7,639437268
32;Casearia decandra;5,602253997
32;Sebastiania commersoniana;51,37131056
32;Myrcia glomerata;9,708451529
32;Eugenia uniflora;37,49576968
32;Banara tomentosa;28,8070447
32;Nectandra megapotamica;5,793239929
9;Allophylus edulis;18,62112834
9;Allophylus edulis;20,29581875
9;Campomanesia xanthocarpa;12,47774754
9;Sebastiania commersoniana;13,68732511
9;Sebastiania commersoniana;14,70591674
9;Allophylus edulis;5,029296202
9;Allophylus edulis;19,51239602
9;Blepharocalyx salicifolius;18,23915648
9;Campomanesia xanthocarpa;22,24986104
9;Myrcia glomerata;22,56817093
9;Allophylus edulis;10,44056427
9;Myrcia glomerata;10,3450713
9;Sebastiania commersoniana;9,740282517
9;Myrcia glomerata;18,27098747
9;Allophylus edulis;11,90478974
9;Sebastiania commersoniana;5,124789168
9;Eugenia uniflora;7,519123651
9;Sebastiania commersoniana;5,379437077
9;Sebastiania commersoniana;15,85183233
9;Sebastiania commersoniana;6,398028712
9;Allophylus edulis;8,689859893
9;Allophylus edulis;16,61577606
9;Sebastiania commersoniana;8,53070495
9;Campomanesia xanthocarpa;9,326479665
9;Nectandra megapotamica;5,76140894
9;Ocotea pulchella;7,289296394
9;Sebastiania commersoniana;17,98450857
9;Sebastiania commersoniana;21,83605819
9;Eugenia uniflora;45,55014471
9;Myrrhinium atropurpureum;5,092958179
9;Myrrhinium atropurpureum;10,88619811
9;Sebastiania commersoniana;21,13577644
9;Sebastiania commersoniana;14,02009616
9;Eugenia uniflora;5,888732894
9;Sebastiania commersoniana;21,61324127
9;Myrrhinium atropurpureum;17,22994684
9;Sebastiania commersoniana;17,82535363
9;Sebastiania commersoniana;22,60672578
9;Sebastiania commersoniana;13,05070533
9;Sebastiania commersoniana;17,56816828
9;Allophylus edulis;15,00955158
9;Sebastiania commersoniana;21,86788918
9;Allophylus edulis;22,505657
9;Myrcia glomerata;12,73239545
10;Sebastiania commersoniana;8,276057041
10;Sebastiania commersoniana;14,80140971
10;Allophylus edulis;8,862801341
10;Allophylus edulis;8,97633879
10;Sebastiania commersoniana;21,90621957
10;Allophylus edulis;10,50422624
10;Sebastiania commersoniana;14,64225476
10;Allophylus edulis;18,62112834
10;Araucaria angustifolia;21,00845249
10;Sebastiania commersoniana;22,91831181
10;Sebastiania commersoniana;9,230986699
10;Sebastiania commersoniana;23,39577663
10;Sebastiania commersoniana;12,09577567
10;Sebastiania commersoniana;18,49555747
10;Sebastiania commersoniana;7,734930234
10;Sebastiania commersoniana;7,639437268
10;Allophylus edulis;12,0321137
